,display_name,MAC_Address,IP_Address,Discovery_Time,Analysis_Level,Bytes_In,Bytes_Out
174,Device c87f540dfaec0000,C8:7F:54:0D:FA:EC,,2023-03-09 11:08:30,discovery,0,0
175,RTMNB1390,68:54:5A:42:4D:F2,10.21.239.24,2023-03-09 10:59:00,standard,1378455182,1378455182
176,863-1a0,58:CE:2A:9D:11:56,10.21.246.78,2023-03-09 10:55:00,discovery,101941062,101941062
177,charlie-ThinkPad-X13-Gen-2i,D4:3A:65:0A:F7:55,10.172.192.53,2023-03-09 10:49:30,standard,769223134,769223134
178,Intel 506914,8C:70:5A:50:69:14,192.168.31.20,2023-03-09 10:16:00,standard,37426,37426
179,DESKTOP-33RAMV6,FC:34:97:A0:A3:82,192.168.1.103,2023-03-09 10:15:00,standard,3292476,3292476
180,DESKTOP-BTRO37B,00:05:1B:C4:D5:93,10.172.192.82,2023-03-09 10:14:00,standard,1187027162,1187027162
181,Remote 172.29.118.29,,172.29.118.29,2023-03-09 10:11:00,standard,1408207263,1408207263
182,Device fee9f4c89bed0000,FE:E9:F4:C8:9B:ED,10.21.233.2,2023-03-09 09:54:30,standard,93487,93487
183,Zioncom E91DED,B8:55:10:E9:1D:ED,192.168.99.117,2023-03-09 09:53:00,standard,21330676,21330676
184,Device be68d7ff49400000,BE:68:D7:FF:49:40,10.21.233.21,2023-03-09 09:49:30,discovery,186354,186354
185,R055349105,00:E0:4C:B8:20:01,10.21.242.26,2023-03-09 09:38:30,discovery,0,0
186,Device f2c6ebacf1910000,F2:C6:EB:AC:F1:91,192.168.88.22,2023-03-09 09:32:00,discovery,64,64
187,3ed-d52,28:6B:35:42:B1:AC,10.21.245.78,2023-03-09 09:28:30,standard,64390396,64390396
188,OPPO-Reno2-Z,DE:D8:B6:BA:C0:DA,,2023-03-09 08:50:30,discovery,0,0
189,Device f0357553e0c60000,F0:35:75:53:E0:C6,192.168.31.8,2023-03-09 07:55:00,standard,110471,110471
190,MiWiFi-RC02,24:CF:24:27:89:E9,10.10.40.109,2023-03-09 07:45:30,discovery,230491560,230491560
191,Remote 172.22.235.252,,172.22.235.252,2023-03-09 04:17:00,discovery,0,0
192,Remote 172.29.118.27,,172.29.118.27,2023-03-08 23:44:30,discovery,2027806,2027806
193,LGwebOSTV,E8:5B:5B:24:31:02,10.10.40.1,2023-03-08 20:49:00,discovery,31422427,31422427
194,P027620109,54:E1:AD:94:67:26,192.168.99.58,2023-03-08 19:52:00,discovery,254918490,254918490
195,Device 063de6092e740000,06:3D:E6:09:2E:74,192.168.88.13,2023-03-08 19:33:00,discovery,0,0
196,Device de5444f09b0b0000,DE:54:44:F0:9B:0B,,2023-03-08 19:08:30,standard,0,0
197,chihchiang-B360-AORUS-GAMING-3-WIFI,E0:D5:5E:E2:00:CE,172.26.6.36,2023-03-08 18:16:30,discovery,125696,125696
198,Device 6e86f2d681920000,6E:86:F2:D6:81:92,169.254.160.33,2023-03-08 18:08:30,standard,0,0
199,DESKTOP-IK3UDMQ,08:62:66:A0:2F:FD,,2023-03-08 17:48:00,standard,0,0
200,JAD-AL50,A2:8A:D2:0A:1B:94,10.172.192.97,2023-03-08 17:45:00,discovery,0,0
201,011-106,9C:EB:E8:E0:D4:E3,192.168.99.65,2023-03-08 17:25:30,advanced,8163270,8163270
202,Device 0084825314220000,00:84:82:53:14:22,192.168.99.2,2023-03-08 17:23:30,discovery,11597426216,11597426216
203,dlinkrouter,90:94:E4:FC:56:2B,,2023-03-08 16:35:00,discovery,280,280
204,LGwebOSTV,CC:2D:4C:28:5E:C1,10.10.40.9,2023-03-08 16:30:30,standard,3405756,3405756
205,Device 406f6df4acc10000,40:6F:6D:F4:AC:C1,192.168.88.40,2023-03-08 16:29:00,standard,1680422,1680422
206,Device 6268c1cd5c600000,62:68:C1:CD:5C:60,,2023-03-08 15:51:00,discovery,0,0
207,Google 4EE2E2,CC:F4:11:4E:E2:E2,10.172.192.92,2023-03-08 15:48:00,standard,787931586,787931586
208,Galaxy-S20-5G,62:EC:13:2F:0C:81,192.168.1.130,2023-03-08 15:37:30,standard,15263637110,15263637110
209,Remote 172.29.118.8,,172.29.118.8,2023-03-08 15:28:30,standard,586833157,586833157
210,Device ba9617b2c3870000,BA:96:17:B2:C3:87,172.26.76.15,2023-03-08 15:28:00,discovery,344133,344133
211,Device 221b7130fa470000,22:1B:71:30:FA:47,192.168.3.9,2023-03-08 15:24:00,discovery,29376,29376
212,RTSNX296,0C:37:96:06:29:FB,172.26.33.30,2023-03-08 15:19:00,discovery,0,0
213,DESKTOP-UKUDF44,A8:A1:59:31:6C:26,172.26.7.22,2023-03-08 15:13:00,discovery,960,960
214,OPPO-Find-X3-Pro,8A:C1:5B:41:6F:A9,192.168.1.129,2023-03-08 15:06:00,standard,4948429377,4948429377
215,HONOR_30_Pro-ba807a2d4e0a,D2:B1:A5:8D:B1:4C,192.168.1.128,2023-03-08 15:05:00,standard,7607273672,7607273672
216,HONOR_30S-abf34e254f1b080,02:54:E3:E1:52:D5,192.168.1.127,2023-03-08 15:04:00,standard,8663889599,8663889599
217,HONOR_X10-899985eb4fc1787,B2:09:1A:68:F0:65,192.168.1.126,2023-03-08 15:01:30,standard,14950211,14950211
218,HONOR_V40-a3cb14dfc041dbc,F2:77:EA:DF:F4:F3,192.168.1.124,2023-03-08 15:00:00,standard,5551203874,5551203874
219,JER-AN20,72:46:23:10:B9:8D,192.168.1.125,2023-03-08 15:00:00,standard,4146374843,4146374843
220,Remote 10.22.78.24,,10.22.78.24,2023-03-08 14:59:30,discovery,0,0
221,iQOO-U3x,96:F0:0A:A1:49:95,192.168.1.121,2023-03-08 14:59:00,discovery,669,669
222,iQOO-U3x,86:3A:42:72:04:55,192.168.1.119,2023-03-08 14:41:30,standard,4598783804,4598783804
223,Galaxy-S10,62:92:14:EB:8D:6E,192.168.1.120,2023-03-08 14:41:30,standard,795854940,795854940
224,iQOO-7,26:87:76:88:C2:EA,192.168.1.118,2023-03-08 14:41:00,standard,14245307416,14245307416
225,Pixel-6,E2:F1:49:0B:4E:98,192.168.1.117,2023-03-08 14:41:00,standard,7818077561,7818077561
226,Device 2ea5e62b0b1a0000,2E:A5:E6:2B:0B:1A,192.168.3.7,2023-03-08 14:40:00,discovery,136384,136384
227,Sbb,D2:19:39:3C:24:87,10.21.233.26,2023-03-08 14:36:30,discovery,110237,110237
228,Galaxy-Note20-5G,52:8F:DF:6F:D3:F9,192.168.1.116,2023-03-08 14:36:00,discovery,1156,1156
229,OPPO-Find-X3-Pro,56:B9:16:2F:21:BF,192.168.1.115,2023-03-08 14:31:30,discovery,6910,6910
230,HONOR-70-Pro,22:87:38:CB:AB:01,192.168.1.112,2023-03-08 14:31:00,standard,5193968818,5193968818
231,Pixel-7-Pro,22:6A:A0:6B:FA:46,192.168.1.111,2023-03-08 14:28:00,standard,17604038,17604038
232,TOTOLINK,40:EE:15:C8:B2:BD,192.168.88.59,2023-03-08 14:25:00,standard,5404262492,5404262492
233,Galaxy-S20-5G,6E:52:F8:63:9B:AE,192.168.1.198,2023-03-08 14:16:30,discovery,43638511,43638511
234,Pixel-7-Pro,BE:99:E6:5B:7D:8C,192.168.1.197,2023-03-08 14:13:30,discovery,89380,89380
235,Samsung A22228,0C:89:10:A2:22:28,192.168.88.57,2023-03-08 14:13:00,discovery,112617513,112617513
236,LGwebOSTV,44:CB:8B:11:DE:86,,2023-03-08 14:09:30,discovery,59550552,59550552
237,zyu-G15,0C:9D:92:05:65:67,169.254.35.145,2023-03-08 14:04:00,discovery,0,0
238,Device 3e168b6d43db0000,3E:16:8B:6D:43:DB,192.168.88.22,2023-03-08 14:03:00,discovery,3097813,3097813
239,Remote 172.19.7.64,,172.19.7.64,2023-03-08 13:45:30,discovery,0,0
240,LAPTOP-P56DDBJS,F8:E4:E3:E0:71:94,10.21.244.73,2023-03-08 13:42:00,discovery,264441131,264441131
241,RTK_GW,00:E0:4C:11:23:24,192.168.1.141,2023-03-08 13:38:00,discovery,0,0
242,Device 0058148324820000,00:58:14:83:24:82,192.168.99.15,2023-03-08 13:06:00,discovery,5454717502,5454717502
243,Device 9ed428b51d140000,9E:D4:28:B5:1D:14,192.168.88.13,2023-03-08 13:03:30,discovery,2589209,2589209
244,SynologyRouter,00:11:32:B6:1B:54,192.168.99.12,2023-03-08 11:27:00,discovery,1125826647,1125826647
245,DESKTOP-FLQ9BQ4,A2:F1:0C:57:2C:CF,10.172.192.53,2023-03-08 10:54:30,discovery,0,0
246,RTMNB0024,14:85:7F:1B:6A:25,10.21.240.32,2023-03-08 10:22:30,standard,351820696,351820696
247,Device 0a31b090d73b0000,0A:31:B0:90:D7:3B,10.21.241.50,2023-03-08 10:22:00,discovery,84337,84337
248,W057492109,54:A0:50:8D:F3:16,192.168.0.101,2023-03-08 10:22:00,standard,18223173,18223173
249,Pixel-7,3A:0B:C6:F7:65:3C,192.168.88.16,2023-03-08 10:16:30,standard,7168089,7168089
250,Remote 172.29.21.105,,172.29.21.105,2023-03-08 09:54:30,discovery,0,0
251,Remote 172.29.118.5,,172.29.118.5,2023-03-08 09:51:00,standard,106454007,106454007
252,R078601101,00:E0:4C:88:14:10,10.21.236.12,2023-03-08 09:37:00,standard,8395895106,8395895106
253,Remote 172.29.118.26,,172.29.118.26,2023-03-08 09:14:30,discovery,4666430,4666430
254,Remote 172.29.118.3,,172.29.118.3,2023-03-08 08:36:30,standard,174528068,174528068
255,Remote 172.29.118.24,,172.29.118.24,2023-03-07 22:20:00,discovery,1206,1206
256,R078601101,00:E0:4C:88:14:B6,10.21.234.10,2023-03-07 21:49:00,discovery,188,188
257,Remote 10.22.11.24,,10.22.11.24,2023-03-07 21:43:00,standard,2599783034,2599783034
258,Remote 10.22.11.23,,10.22.11.23,2023-03-07 21:42:30,standard,622232828,622232828
259,Remote 10.22.11.22,,10.22.11.22,2023-03-07 21:42:30,standard,103372328,103372328
260,R078601101,00:E0:4C:88:14:C0,10.21.243.91,2023-03-07 20:56:00,discovery,1815956991,1815956991
261,R078601101,00:E0:4C:88:14:8D,10.21.234.42,2023-03-07 20:46:30,standard,655642,655642
262,U06557668,,172.29.118.22,2023-03-07 20:44:00,discovery,66657618,66657618
263,LGwebOSTV,E8:5B:5B:24:E4:77,10.10.40.124,2023-03-07 19:46:00,discovery,177014420,177014420
264,Remote 172.29.118.21,,172.29.118.21,2023-03-07 19:17:00,discovery,56667629,56667629
265,Transact Campus 271323,00:24:87:27:13:23,192.168.99.111,2023-03-07 18:43:30,standard,1016882126,1016882126
266,Remote 10.22.14.99,,10.22.14.99,2023-03-07 17:29:30,standard,7000,7000
267,Remote 10.22.14.164,,10.22.14.164,2023-03-07 17:24:00,discovery,2964,2964
268,Remote 172.29.118.20,,172.29.118.20,2023-03-07 17:20:30,standard,78024125,78024125
269,Device 5611b8e3f3840000,56:11:B8:E3:F3:84,10.21.233.2,2023-03-07 15:53:30,discovery,0,0
270,Remote 172.22.243.252,,172.22.243.252,2023-03-07 15:28:30,discovery,0,0
271,LGwebOSTV,E8:5B:5B:24:31:07,10.10.40.34,2023-03-07 15:22:30,discovery,8762,8762
272,Device beff15365b9e0000,BE:FF:15:36:5B:9E,,2023-03-07 15:19:30,discovery,0,0
273,LGwebOSTV,3C:CD:93:60:5D:8C,,2023-03-07 15:15:30,standard,7000,7000
274,rtkmm2ap3-google,28:D0:EA:02:19:08,192.168.180.77,2023-03-07 15:07:00,standard,2391008,2391008
275,wade-X550JX,2C:56:DC:16:A9:2F,,2023-03-07 15:03:00,discovery,0,0
276,Device 9c2000277f180000,9C:20:00:27:7F:18,192.168.180.76,2023-03-07 15:02:00,discovery,607635,607635
277,Remote 10.22.9.216,,10.22.9.216,2023-03-07 14:53:30,discovery,553181655,553181655
278,RTMNB1348,50:EB:F6:8B:8B:E0,172.26.33.26,2023-03-07 14:51:30,standard,813499572,813499572
279,Device 8edaf4b107920000,8E:DA:F4:B1:07:92,192.168.3.222,2023-03-07 14:48:00,standard,8166,8166
280,Device f820a93fcf9d0000,F8:20:A9:3F:CF:9D,192.168.3.1,2023-03-07 14:46:00,advanced,75720,75720
281,Remote 172.29.118.18,,172.29.118.18,2023-03-07 14:44:30,discovery,26411785,26411785
282,REALTEK SEMICONDUCTOR 0C603B,00:E0:4C:0C:60:3B,192.168.112.2,2023-03-07 14:43:30,standard,674825396,674825396
283,iPhone,48:26:2C:93:A8:14,192.168.88.41,2023-03-07 14:33:30,discovery,94,94
284,Device be97cc0d6bbe0000,BE:97:CC:0D:6B:BE,,2023-03-07 14:22:00,discovery,0,0
285,DESKTOP-THM8FLI,58:11:22:80:36:94,169.254.161.219,2023-03-07 14:21:00,discovery,0,0
286,Daintree 872426,00:22:81:87:24:26,192.168.99.102,2023-03-07 14:19:30,discovery,3061276777,3061276777
287,Device 2e15636cbcc10000,2E:15:63:6C:BC:C1,10.21.247.55,2023-03-07 14:13:00,discovery,458226454,458226454
288,Device 6e23b9cc546b0000,6E:23:B9:CC:54:6B,192.168.88.21,2023-03-07 13:52:00,discovery,320,320
289,R068652104,24:41:8C:F6:1E:F4,10.21.239.75,2023-03-07 13:19:00,standard,439102394,439102394
290,LEE-de-S23-Ultra,9E:F3:10:B6:E5:83,192.168.88.31,2023-03-07 13:15:00,discovery,1370,1370
291,Device 0085828222840000,00:85:82:82:22:84,192.168.99.100,2023-03-07 13:12:30,discovery,1716,1716
292,Pixel-6,2A:DD:80:E4:A6:EA,,2023-03-07 13:11:00,discovery,0,0
293,Remote 172.29.118.16,,172.29.118.16,2023-03-07 12:57:30,standard,3614075305,3614075305
294,Device 628859c65c490000,62:88:59:C6:5C:49,,2023-03-07 12:48:00,standard,0,0
295,Device 3eee295e2f1c0000,3E:EE:29:5E:2F:1C,192.168.88.47,2023-03-07 12:26:00,standard,0,0
296,R049976103,F0:2F:74:A4:47:F3,169.254.226.249,2023-03-07 11:25:00,discovery,0,0
297,Galaxy-S21-5G,86:25:69:95:6B:A6,192.168.88.36,2023-03-07 11:20:00,discovery,21691,21691
298,Remote 172.29.118.15,,172.29.118.15,2023-03-07 10:54:00,discovery,2930255,2930255
299,Device f0357553e1060000,F0:35:75:53:E1:06,192.168.180.75,2023-03-07 10:48:30,standard,1094298426,1094298426
300,ABR-AL00,52:3C:87:19:39:83,,2023-03-07 10:46:30,discovery,0,0
301,ABR-AL00,32:7C:ED:85:C2:6B,10.172.192.85,2023-03-07 10:46:00,discovery,0,0
302,ABR-AL00,22:33:6E:0F:EE:F1,10.172.192.88,2023-03-07 10:46:00,discovery,0,0
303,Device 260cb22bd6930000,26:0C:B2:2B:D6:93,,2023-03-07 10:44:00,discovery,0,0
304,Remote 172.29.118.11,,172.29.118.11,2023-03-07 10:12:00,discovery,75773,75773
305,Device b26cea81e2670000,B2:6C:EA:81:E2:67,10.21.233.27,2023-03-07 10:12:00,standard,1316887,1316887
306,Remote 172.29.118.13,,172.29.118.13,2023-03-07 10:08:30,standard,2176267528,2176267528
307,Pixel-6,22:CF:51:DB:2F:F4,192.168.88.29,2023-03-07 10:02:00,discovery,0,0
308,ABR-AL00,52:4A:9A:A1:5B:AA,10.172.192.97,2023-03-07 10:00:00,discovery,11080660924,11080660924
309,ABR-AL00,32:AE:DD:7C:65:78,10.172.192.94,2023-03-07 09:59:30,discovery,0,0
310,Remote 172.29.118.12,,172.29.118.12,2023-03-07 09:58:00,standard,4673955253,4673955253
311,V018062100,9C:B6:D0:1E:07:53,10.21.245.54,2023-03-07 09:55:30,discovery,134077087,134077087
312,aef-d59,C8:7F:54:2D:5B:2B,172.22.151.1,2023-03-07 09:51:00,discovery,0,0
313,r023820100,A0:88:69:7A:5C:1F,10.21.234.47,2023-03-07 09:42:00,standard,2195306240,2195306240
314,RTMNB01811,48:9E:BD:DA:93:9D,,2023-03-07 09:40:00,discovery,573,573
315,r028346108.realtek.com.tw,4E:F9:1A:D7:3A:D1,172.26.6.134,2023-03-07 09:33:30,discovery,93844,93844
316,Remote 172.19.7.65,,172.19.7.65,2023-03-07 09:33:00,discovery,0,0
317,R033070100,9E:AF:20:42:36:F7,172.26.6.73,2023-03-07 09:32:00,discovery,1408,1408
318,V024720100,D6:66:E4:A1:04:AC,172.26.6.41,2023-03-07 09:30:00,discovery,60036,60036
319,Remote 10.22.11.21,,10.22.11.21,2023-03-07 09:30:00,discovery,77851941,77851941
320,R029721107,EA:49:26:09:88:E7,172.26.6.37,2023-03-07 09:29:00,discovery,51806,51806
321,Remote 172.29.77.9,,172.29.77.9,2023-03-07 09:29:00,standard,90839575,90839575
322,rtmm164-p43s.realtek.com.tw,8E:4B:33:86:F1:F8,172.26.6.36,2023-03-07 09:27:00,discovery,4160,4160
323,Device 8a60c66bf20f0000,8A:60:C6:6B:F2:0F,172.26.6.31,2023-03-07 09:26:00,discovery,3840,3840
324,TW-100140-01,44:03:2C:EF:84:40,169.254.176.217,2023-03-07 09:24:00,discovery,0,0
325,833-068,D4:3A:65:0D:2A:C2,,2023-03-07 09:18:00,discovery,0,0
326,rtdhc82107.realtek.com.tw,1A:99:74:F4:60:62,172.26.6.30,2023-03-07 09:13:30,discovery,1664,1664
327,DESKTOP-4OBKTMA,00:F4:8D:F0:B4:AD,10.21.243.48,2023-03-07 09:04:00,standard,1826354481,1826354481
328,Remote 172.29.118.10,,172.29.118.10,2023-03-07 08:50:00,standard,184080375,184080375
329,Device 0092818223710000,00:92:81:82:23:71,192.168.99.91,2023-03-07 08:30:00,discovery,1421374304,1421374304
330,r028346108.realtek.com.tw,B2:A2:EF:EF:09:14,172.26.6.23,2023-03-07 03:54:00,discovery,512,512
331,Remote 172.29.82.252,,172.29.82.252,2023-03-07 03:22:30,discovery,0,0
332,Remote 172.29.80.15,,172.29.80.15,2023-03-07 03:06:30,discovery,0,0
333,Remote 172.29.80.5,,172.29.80.5,2023-03-07 02:51:00,discovery,0,0
334,Remote 172.29.118.36,,172.29.118.36,2023-03-07 01:04:30,standard,27267924,27267924
335,Remote 172.29.118.7,,172.29.118.7,2023-03-06 22:12:00,standard,121045843,121045843
336,LGwebOSTV,E8:5B:5B:26:34:32,192.168.180.71,2023-03-06 20:43:00,discovery,14868791,14868791
337,Remote 172.29.118.4,,172.29.118.4,2023-03-06 20:43:00,discovery,30044104,30044104
338,WIN-C0K5I3175UU,00:15:5D:03:A7:02,169.254.102.235,2023-03-06 20:41:00,discovery,0,0
339,Remote 172.29.118.1,,172.29.118.1,2023-03-06 19:06:00,standard,0,0
340,Remote 172.29.118.0,,172.29.118.0,2023-03-06 19:02:30,discovery,0,0
341,Device 0604b6b0ce480000,06:04:B6:B0:CE:48,,2023-03-06 18:45:00,standard,0,0
342,RTSNX638,50:EB:F6:8B:88:14,172.22.151.7,2023-03-06 18:25:00,discovery,0,0
343,Device 52cc3c940f940000,52:CC:3C:94:0F:94,,2023-03-06 17:44:00,discovery,0,0
344,Remote 172.16.28.26,,172.16.28.26,2023-03-06 17:33:30,standard,0,0
345,RTSNX637,50:EB:F6:8B:96:6F,172.22.151.6,2023-03-06 17:19:30,discovery,0,0
346,Pixel-7-Pro,E6:37:24:AA:5D:01,192.168.1.217,2023-03-06 17:06:00,discovery,0,0
347,858-284,58:CE:2A:9D:9F:EA,10.21.243.85,2023-03-06 16:49:00,standard,0,0
348,18a-9d6,D4:3A:65:0D:29:8D,172.22.151.5,2023-03-06 16:48:00,discovery,0,0
349,AP6084BD3DDBE0,60:84:BD:3D:DB:E0,192.168.99.89,2023-03-06 16:46:00,discovery,0,0
350,R06574304,FC:3F:DB:81:31:4A,10.10.40.156,2023-03-06 16:38:30,discovery,0,0
351,9da-6bb,C8:7F:54:2D:5C:A2,172.22.151.3,2023-03-06 16:06:00,discovery,0,0
352,833-068,78:AF:08:2B:76:F9,172.26.12.21,2023-03-06 16:00:30,standard,0,0
353,KEN_NB,AC:16:2D:4B:A3:A9,192.168.1.222,2023-03-06 15:47:30,discovery,0,0
354,RTMNB1536,50:EB:F6:8B:8A:92,172.22.151.1,2023-03-06 15:41:30,discovery,0,0
